,Area in SQFT,Name of Property,Price in Lac,Price/SQFT
0,881,VGN Mayfield Park,44.9,5100
1,1089,LML Prakriti,43.5,3990
2,662,VGN Mayfield Park,33.8,5100
3,350,,41,
4,806,,38.7,4800
5,1894,KVT Green City,75.8,4000
6,1020,Marutham Breeze,35.6,3490
7,1326,,20.5,1546
8,1248,,19.3,1548
9,900,,33.8,3750
10,1000,,30,3000
11,900,,21.6,2400
12,600,LML Prakriti,23.9,3990
13,2000,,53.3,2664
14,1334,Pace Anusa,49.3,3695
15,890,LML Prakriti,49.6,
16,800,,55.1,
17,1085,Casagrand Ferns,43.1,3968
18,4750,,55,1158
19,911,VGN Mayfield Park,46.5,5100
20,756,Pace Anusa,30,3968
21,2000,,90,
22,2532,,38.3,1512
23,1000,,23,2300
24,770,Trinity,35,4545
25,1080,,16.5,1528
26,1175,Pace Anusa,48,4085
27,609,Venkata Villas,70,
28,762,,49.5,
29,800,,15,1800
